No,Metric Name,Keywords,Category,Product Stage,SaaS Type,Definition,Formula / Measurement,Target Benchmark,Why It Matters,Anti-Metric Warning
1,Time to First Value (TTFV),"activation, first value, onboarding, aha moment, first action",Activation,Launch + Growth,All SaaS,Time from signup to when a user completes the action that delivers core product value,"Median time from account_created event to activation_event. Track in product analytics (Mixpanel/Amplitude)","<10 minutes for consumer SaaS; <1 day for complex B2B","TTFV is the single strongest predictor of long-term retention. Every minute of friction before value delivery costs conversion.","Don't use 'completed onboarding tour' as proxy — measure the actual value moment (first report generated, first contact imported, first task created)"
2,Activation Rate,"activate, onboard, complete, setup, first time",Activation,Launch + Growth,All SaaS,Percentage of signups who complete the core activation action within a defined window,"(Users who reach activation event within 7 days) / (Total signups in same cohort) × 100","30-60% for consumer PLG; 15-40% for complex B2B","Activation is the first conversion gate. Low activation means users leave before seeing value — no retention or monetization is possible.","Don't use login as the activation event. It must be an action that delivers actual product value."
3,Monthly Recurring Revenue (MRR),"mrr, revenue, recurring, subscription, arr",Revenue,All Stages,Subscription SaaS,Total predictable recurring revenue per month from all active paying customers,"Sum of (plan price × number of customers on each plan). Exclude one-time fees.","Growing 10-20%+ MoM for early stage; 5-10% for growth stage","MRR is the health metric for subscription businesses. Tracks whether the business is growing predictably.","MRR growth without looking at the source (expansion vs new vs reactivation) is misleading. Always decompose."
4,Net Revenue Retention (NRR),"nrr, retention, expansion, upsell, churn, contraction",Revenue / Retention,Growth + Scale,B2B SaaS,How much revenue from existing customers grew or shrank over a period — includes expansions and churned accounts,"(Starting MRR + Expansion MRR - Contraction MRR - Churned MRR) / Starting MRR × 100","110%+ is world-class; 100%+ means growth without new customers; <90% is a red flag","NRR > 100% means the business grows purely from its existing customer base. It's the single most important SaaS health metric at scale.","Don't confuse with Gross Revenue Retention (GRR) which excludes expansion. Both matter."
5,Customer Churn Rate,"churn, cancel, lose, turnover, attrition, cancel rate",Retention,Growth + Scale,All SaaS,Percentage of customers who cancel or don't renew in a period,"(Customers lost in period) / (Total customers at start of period) × 100","<2% monthly for SMB SaaS; <5% annually for enterprise","High churn destroys LTV and makes growth nearly impossible — you're pouring water into a leaky bucket.","Monthly churn of 2% compounds to ~22% annually. Always track cohort churn, not just point-in-time."
6,Daily / Weekly Active Users (DAU/WAU),"dau, wau, active users, engagement, usage, sticky",Engagement,All Stages,Consumer / PLG SaaS,Number of unique users who perform a meaningful action on a given day or week,"Count of unique user_id who triggered at least one meaningful_event in the period","Depends on use case: daily use (Slack, Notion) vs weekly (project tools) vs monthly (analytics dashboards)","Engagement frequency signals product-market fit for consumer products. Low DAU/MAU ratio means users aren't forming habits.","Don't count login as an active event. Define 'meaningful action' based on your core value delivery."
7,DAU/MAU (Stickiness),"sticky, stickiness, habit, frequency, engagement, ratio",Engagement,Growth + Scale,Consumer / Collaboration SaaS,"Ratio of daily active users to monthly active users — how 'sticky' the product is","(DAU) / (MAU) × 100","50%+ is excellent (WhatsApp ~70%); 20-30% is good; <10% is low stickiness","Stickiness predicts long-term retention. A sticky product becomes a habit, which makes it very hard to churn.","Stickiness depends on use case. A monthly billing tool with 15% DAU/MAU isn't 'low engagement' — don't compare across different use case types."
8,Free-to-Paid Conversion Rate,"convert, upgrade, paid, freemium, trial, plg, revenue conversion",Revenue,Launch + Growth,PLG / Freemium SaaS,Percentage of free users who convert to a paid plan in a given cohort window,"(Free users who upgrade to paid within N days) / (Total free signups in same cohort) × 100","2-5% for open freemium; 15-25% for free trial with expiry","For PLG companies, free-to-paid conversion is the revenue engine. Even a 1% improvement at scale has massive ARR impact.","Increasing free-to-paid conversion by degrading the free product (paywalling too aggressively) hurts word-of-mouth and long-term growth."
9,Net Promoter Score (NPS),"nps, promoter, detractor, recommend, satisfaction, loyalty",Customer Satisfaction,All Stages,All SaaS,"How likely users are to recommend the product to a colleague, on a 0-10 scale","Survey: 'How likely are you to recommend us?' (0-10). NPS = % Promoters (9-10) - % Detractors (0-6)","50+ is excellent; 30-50 is good; <0 means more detractors than promoters","NPS predicts organic growth (referrals) and renewal risk (detractors). Read the qualitative comments for actionable insight.","NPS is a lagging indicator — by the time it drops, churn has already started. Combine with in-product behavioral signals."
10,Customer Acquisition Cost (CAC),"cac, acquisition, cost, marketing, sales, spend",Unit Economics,All Stages,All SaaS,Total cost to acquire one new paying customer,"(Total Sales + Marketing spend in period) / (New customers acquired in period)","For B2B SaaS: CAC payback < 12 months; for enterprise: < 24 months","If CAC exceeds LTV, the business is unsustainable. CAC payback period determines how quickly you can reinvest in growth.","Blended CAC hides channel efficiency. Always track by channel (paid, organic, referral, outbound) to optimize spend."
11,Customer Lifetime Value (LTV),"ltv, lifetime, value, revenue, retention, arpu",Unit Economics,Growth + Scale,All SaaS,Total revenue expected from a customer over their entire relationship with the product,"LTV = ARPU × (1 / Monthly Churn Rate) or LTV = ARPU × Gross Margin / Monthly Churn Rate","LTV:CAC ratio > 3:1 is healthy; > 5:1 is excellent","LTV:CAC is the fundamental unit economics ratio. It tells you whether acquiring customers is a profitable long-term business.","LTV calculation assumes constant churn rate. For enterprise with multi-year contracts, use contract value instead."
12,Course / Onboarding Completion Rate,"completion, onboarding, finish, course, setup, activate",Activation,Launch,EdTech / PLG SaaS,Percentage of users who complete the full onboarding or course flow from start to finish,"(Users who reach final step / completion event) / (Users who started) × 100","30-50% for complex multi-step onboarding; 60-80% for guided short flows","Completion rate reveals where users drop off. Low completion means users don't reach value, which kills retention and expansion.","Completion rate alone can be gamed by making onboarding too short to be skippable. Pair with downstream retention metrics."
13,API Adoption Rate,"api, developer, adoption, calls, usage, integration",Adoption,Launch + Growth,Developer Platform SaaS,Percentage of signed-up developers who make at least one successful API call in their first 7 days,"(Developers who made ≥1 successful API call within 7 days) / (Total developer signups) × 100","30-50%+ within 7 days for well-documented APIs","API adoption is the activation metric for developer platforms. Low adoption means docs or onboarding is failing.","Track time-to-first-successful-call (TTFC) as the leading indicator, not just whether adoption ever happened."
14,Feature Adoption Rate,"feature, adoption, use, discover, activation, usage depth",Product Health,Growth + Scale,All SaaS,Percentage of active users who have used a specific feature at least once in the past 30 days,"(MAU who triggered feature_used event) / (Total MAU) × 100","Varies by feature type. Core features: 60%+; Advanced features: 20-40%; Power user features: 5-15%","Low feature adoption reveals discoverability and value clarity problems. High adoption validates product-market fit for that capability.","Don't mistake low adoption for a dead feature — check if it's being used by the right personas (power users) before cutting it."
15,Time to Resolution (Support),"support, ticket, resolution, customer success, response, sla",Customer Success,All Stages,All SaaS,Average time from when a support ticket is opened to when it is resolved,"Median time from ticket_opened to ticket_resolved in your support system","< 4 hours for live chat; < 24 hours for email; < 4 hours for P0 enterprise SLA","Support resolution time directly impacts NPS and renewal decisions. Enterprise customers have contractual SLA requirements.","Median is more useful than average for this metric — outliers (complex escalations) will skew the average."
16,Audit Log Coverage,"audit, log, trail, compliance, security, enterprise, soc2",Compliance / Security,Growth + Scale (Enterprise),Enterprise SaaS,Percentage of sensitive user actions that are captured in the audit log,"(Logged sensitive actions) / (Total defined sensitive actions that should be logged) × 100","100% for SOC 2 Type II and ISO 27001 compliance","Enterprise buyers require audit logs for security review. SOC 2 auditors will verify coverage. Missing logs = compliance failure.","Coverage rate doesn't tell you log quality — also verify that logs are queryable, exportable, and retained per policy."
