No,Section Name,Keywords,Purpose,Required For,Priority,Template,Writing Tips,Common Mistakes,Word Count Guide
1,Executive Summary,"overview, tldr, summary, tl;dr, intro, background, context",Gives any reader a 2-3 sentence understanding of what is being built and why. Frames all that follows.,All PRDs,CRITICAL,"## Overview\n**What:** [One sentence on what we are building]\n**Why:** [Business problem and user pain in one sentence]\n**Impact:** [Expected business outcome — quantified if possible]","Write this last. Distill the entire PRD into 3 sentences. Include expected ARR impact or user metric. If you can't summarize it in 3 sentences, the scope may be too large.","Too long (>1 paragraph), no numbers, written as a feature list instead of a value statement",50-100 words
2,Problem Statement,"problem, pain, why, opportunity, background, context, evidence, research","Describes the current state and why it is broken from the user's perspective. Grounds the team in the real pain before any solution is proposed.",All PRDs,CRITICAL,"## Problem Statement\n**Current state:** [What is happening today and why it fails users]\n**Evidence:** [Data: user research quotes, support ticket volume, churn attribution, usage data]\n**User impact:** [How users currently work around this problem]\n**Business impact:** [Churn, lost deals, support load, opportunity cost]\n**Why now:** [Why solving this is the right priority today]","Lead with a story from a real user if possible. Quantify everything: '10% of users', '$450K in lost deals', '40% drop-off'. Distinguish between user pain and business pain — both matter.","Describing the problem as a feature gap ('our app doesn't have X') instead of user pain. No data. No quantification. Skipping user impact. Writing the solution in this section.",150-300 words
3,Target Users / Personas,"persona, user, audience, who, segment, buyer, customer","Defines exactly who this is being built for. Prevents building for a fictional average user that satisfies no one.",All PRDs,CRITICAL,"## Target Users\n| Persona | Description | Job to Be Done | % of Users |\n|---------|-------------|----------------|------------|\n| [Primary persona] | [Role, context] | [Core need] | [~X%] |\n| [Secondary persona] | [Role, context] | [Core need] | [~X%] |\n\n**Out of scope users:** [Who we are explicitly NOT building for]","Use real job titles from your CRM or user research. Name the persona concisely. Add the percentage if known — it forces prioritization. List out-of-scope personas to prevent design-by-committee.","Using generic 'user' or 'customer'. Not listing out-of-scope users. Confusing buyer persona with end-user persona. Missing the economic buyer for B2B products.",100-200 words
4,Goals & OKRs,"goal, objective, okr, strategy, why, purpose, north star, initiative","Connects the feature to company strategy. Answers 'why should we build this now instead of something else?'",All PRDs,HIGH,"## Goals\n**Company OKR:** [Which company-level objective this supports]\n**Product Goal:** [The specific product outcome being targeted]\n**Strategic fit:** [Why this is the right solution direction]\n**Why now:** [Market timing, competitive pressure, or dependency that makes this urgent]","Link explicitly to a named company OKR. If you can't trace this to an OKR, the prioritization may be wrong. Keep this section separate from metrics — goals are directional, metrics are measurable.","Listing features as goals. Writing goals that are really metrics ('increase DAU by 20%'). Vague goals like 'improve UX'.",100-150 words
5,Success Metrics,"metric, kpi, measure, goal, success, target, outcome, result, data","Defines what 'done' looks like after launch. Creates accountability and enables post-launch evaluation.",All PRDs,CRITICAL,"## Success Metrics\n| Metric | Type | Baseline | Target | Timeline |\n|--------|------|----------|--------|----------|\n| [Primary metric] | Primary | [Current] | [Goal] | [Date] |\n| [Secondary metric] | Supporting | [Current] | [Goal] | [Date] |\n| [Leading indicator] | Leading | [Current] | [Goal] | [Date] |\n\n**Measurement approach:** [How will we track these? Which tool/event?]","Choose 1 primary metric and 2-3 supporting metrics. Avoid vanity metrics (page views, clicks) unless tied to a business outcome. Define the measurement method alongside the metric, or it won't get implemented.","No metrics at all. Vanity metrics ('pageviews') not tied to business outcomes. No baseline. No timeline. No measurement plan. All metrics set as P0.",100-200 words
6,Guardrail Metrics,"guardrail, safety, protect, regression, retain, don't break, floor, threshold","Lists the metrics that must NOT decrease as a side effect of this feature. Protects against unintended regressions.",Medium and large PRDs,HIGH,"## Guardrail Metrics\nThe following metrics must not drop below current baseline as a result of this feature:\n- [Metric 1]: Must not drop below [threshold] (current: [value])\n- [Metric 2]: Must not drop below [threshold] (current: [value])\n- [Metric 3]: Must not drop below [threshold] (current: [value])","Think about what this feature could break accidentally. Common guardrails: performance, retention, NPS, error rate. A retention feature should guard against DAU drop. A new onboarding flow should guard against conversion rate.","Skipping this section entirely. Only listing aspirational targets and forgetting what could regress.",50-100 words
7,User Stories,"story, user story, as a, i want, so that, use case, scenario","Describes what different user types need to accomplish in their own language. Bridges product intent and engineering implementation.",All PRDs,CRITICAL,"## User Stories\n\n### US-[N]: [Short story title]\n**As a** [specific persona],\n**I want** [clear user-centric action],\n**so that** [tangible outcome tied to value].\n\n**Priority:** P0 / P1 / P2\n\n**Acceptance Criteria:**\n- [ ] Given [context], when [action], then [outcome]\n- [ ] Given [context], when [action], then [outcome]\n- [ ] [Edge case or negative scenario handled]","Use a specific persona, not 'as a user'. Describe the goal from the user's perspective, not a UI action. Always include the 'so that' clause — it's the business justification. Mark each story with a priority. Write AC before handing off to engineering.","Generic 'As a user' persona. Missing 'so that' clause. Stories that are really epics (split them). Stories that prescribe UI implementation. No acceptance criteria. All stories marked P0.",50-150 words per story
8,Functional Requirements,"functional, requirement, feature, behavior, spec, fr, must, should, system","Itemizes what the system must do in testable, numbered statements. The reference point for QA and engineering.",Medium and large PRDs,HIGH,"## Functional Requirements\n| ID | Requirement | Priority | Notes |\n|----|-------------|----------|-------|\n| FR-1 | [Testable system behavior] | Must Have | [Context or constraint] |\n| FR-2 | [Testable system behavior] | Should Have | [Context or constraint] |\n| FR-3 | [Testable system behavior] | Nice to Have | [Context or constraint] |","Number each requirement for easy reference. Use 'must', 'should', 'may' (RFC 2119 language) to distinguish priority. Write from the system's perspective: 'The system must...' Keep requirements testable — if QA can't verify it, rewrite it.","Numbering requirements but making them untestable. Mixing requirements and design notes. Having no must/should/nice-to-have distinction. Writing implementation details instead of behaviors.",1-2 sentences per row
9,Non-Functional Requirements,"non-functional, nfr, performance, security, accessibility, reliability, scalability, latency, sla","Defines how the system must behave beyond features: speed, security, uptime, accessibility, compliance.",Medium and large PRDs,HIGH,"## Non-Functional Requirements\n- **Performance:** [e.g., API response < 200ms p95, page load < 2s on 4G]\n- **Reliability:** [e.g., 99.9% uptime, retry on failure]\n- **Scalability:** [e.g., support 10,000 concurrent users]\n- **Security:** [e.g., all PII encrypted at rest and in transit, RBAC enforced]\n- **Accessibility:** [e.g., WCAG 2.1 AA, screen reader compatible]\n- **Compliance:** [e.g., GDPR, SOC 2, HIPAA, PCI-DSS]\n- **Localization:** [Languages, timezones, currency formats]","Be specific: 'fast' is not a requirement. '< 200ms p95' is. Include the measurement method. For security, name the specific standard or control required.","Writing 'the system should be fast'. No specifics. Missing accessibility entirely. Treating compliance as an afterthought.",1-2 sentences per item
10,Out of Scope,"scope, out of scope, exclusion, not included, future, phase 2, won't have, cut","Explicitly lists what this PRD does NOT cover. The most underrated section — prevents scope creep and sets clear expectations.",All PRDs,HIGH,"## Out of Scope\n> The following are explicitly NOT included in this release. Including them is considered scope creep.\n\n| Item | Reason | Future? |\n|------|--------|---------|\n| [Feature or capability] | [Why excluded] | Phase 2 / No plan |\n| [Feature or capability] | [Why excluded] | Phase 2 / No plan |","Write this before you write the requirements — it forces you to make hard decisions. List anything that came up in discussions and was deferred. Reference separate PRDs for deferred items where they exist.","Skipping this section entirely. Listing vague items like 'advanced features'. Not explaining why items are excluded.",50-150 words
