"No","Pattern Name","Platform","Keywords","Category","Description","When to Use","PRD Guidance","Good Example","Bad Example","Accessibility Note"
"1","Bottom Tab Navigation","iOS + Android","tab bar, bottom nav, navigation, tabs, primary navigation, mobile nav","Navigation","Primary navigation bar at the bottom of the screen with 3-5 tabs. Each tab leads to a top-level destination. The currently selected tab is visually highlighted.","Apps with 3-5 equally important top-level sections. Most consumer and productivity apps. Standard for iOS (Tab Bar) and Android (Bottom Navigation).","PRD must specify: number of tabs (3-5), tab labels and icons, which tab is default on launch, badge indicators (e.g., unread count on notifications tab). Each tab should represent a distinct category, not a sequential flow.","Instagram: Home, Search, Reels, Shop, Profile — 5 clear top-level destinations with distinct icons and labels","Hamburger menu with 15 items hidden behind a ≡ icon — users don't discover features they can't see","All tab items must have text labels (not icon-only). VoiceOver/TalkBack must announce tab name and selected state."
"2","Pull-to-Refresh","iOS + Android","refresh, pull down, reload, update, sync, fetch latest","Data Loading","User pulls down on a scrollable list to trigger a data refresh. A spinner or animation indicates loading. Content updates in place when refresh completes.","Any screen showing dynamic content that may have changed since last viewed: feeds, inboxes, dashboards, lists. Expected behavior for all list-based mobile UIs.","PRD should specify: what data is refreshed, maximum refresh duration (timeout), loading indicator style, behavior if refresh fails (show error + keep stale data), whether background refresh supplements pull-to-refresh.","Twitter/X: Pull down on timeline → spinner → new tweets inserted at top with smooth animation. Content below is preserved.","Forcing a full page reload that loses scroll position and shows a blank screen during loading.","Announce 'Refreshing' and 'Refresh complete' to screen readers via aria-live. The pull gesture must have an alternative (refresh button in nav bar)."
"3","Bottom Sheet / Action Sheet","iOS + Android","bottom sheet, action sheet, modal, drawer, options, menu, half sheet","Interaction","A panel that slides up from the bottom of the screen, showing additional options, filters, or content. Can be half-height (peek) or full-height. Dismissed by swiping down or tapping outside.","Presenting secondary actions, filters, settings, or confirmations without navigating away from the current screen. Replaces desktop dropdowns and modals on mobile.","PRD should specify: content of the sheet, whether it's dismissible (swipe down, tap outside), whether it blocks interaction with content behind it (modal vs non-modal), default height (peek vs full), snap points for dragging.","Google Maps: Tap a location → bottom sheet slides up showing details, reviews, directions. Swipe up for full detail, swipe down to dismiss.","Full-screen modal for a simple 3-option menu. Desktop-style dropdown that's too small to tap accurately on mobile.","Bottom sheet must be reachable by VoiceOver/TalkBack. Focus should move to the sheet when it opens. Escape/back gesture must dismiss it."
"4","Skeleton Loading / Shimmer","iOS + Android","skeleton, shimmer, placeholder, loading state, content loading, progressive","Data Loading","Gray placeholder shapes that mirror the layout of expected content, with a shimmer animation. Replaces traditional spinners for content-heavy screens.","Any screen that loads data from an API and displays structured content (cards, lists, profiles). Provides perceived performance improvement — users feel the app is faster even if load time is identical.","PRD should specify: which screens use skeleton loading (vs spinner), skeleton layout matching final content structure, animation style (shimmer vs pulse), timeout behavior (show error state after N seconds), transition from skeleton to real content (fade-in).","LinkedIn: Profile page shows gray shapes matching avatar, name, title, and post cards while loading. Content fades in smoothly as data arrives.","Blank white screen with a centered spinner for 3 seconds before content appears. Or: spinner in one corner while most of the screen is empty.","Skeleton elements should be marked as aria-hidden. Screen reader should announce 'Loading content' and 'Content loaded' when data arrives."
"5","Infinite Scroll / Lazy Loading","iOS + Android","infinite scroll, pagination, lazy load, load more, endless scroll, feed, list","Data Loading","Content loads automatically as the user scrolls near the bottom. No 'Next Page' button. New items are appended seamlessly.","Feeds, search results, product catalogs, any list with >20 items. Standard for social media, e-commerce, and content apps.","PRD should specify: trigger point (load more when user is N items from bottom), batch size (20-50 items), loading indicator at bottom of list, end-of-list indicator ('No more items'), error state if load fails (retry button), scroll position preservation on back navigation.","Instagram: Scrolling the feed seamlessly loads more posts. A small spinner appears briefly at the bottom. User never sees a 'page 2' button.","'Load More' button at the bottom of every 10-item page. Or: loading all 500 items at once, causing a 10-second initial load and janky scrolling.","Announce 'Loading more items' to screen readers when new batch starts loading. New items should be navigable immediately after loading."
"6","Swipe Actions on List Items","iOS + Android","swipe, swipe to delete, swipe actions, quick actions, list gesture, inbox","Interaction","Swiping left or right on a list item reveals action buttons (delete, archive, flag, etc.). Common in mail, messaging, and task management apps.","Lists where users frequently need to perform quick actions on individual items without opening the detail view. Must always have an alternative tap-based path.","PRD should specify: swipe direction(s) and their actions (left = delete, right = archive), visual treatment of revealed buttons, destructive action confirmation (undo toast or confirm dialog), swipe threshold before action triggers, haptic feedback at threshold.","Apple Mail: Swipe left reveals 'Trash' (red) and 'Flag' (orange). Swipe right reveals 'Unread' (blue). Full swipe triggers default action. Undo available via toast.","No swipe actions on any list items — user must tap into each item, find the action, perform it, and navigate back. 3 taps instead of 1 swipe.","Swipe actions must have equivalent tap-based alternatives (long-press menu or detail screen actions). VoiceOver users cannot perform custom swipe gestures."
"7","Floating Action Button (FAB)","Android (primarily)","fab, floating button, create, add, primary action, compose, new","Interaction","A prominent circular button floating above content, typically in the bottom-right corner. Represents the single most important action on the screen (create, compose, add).","Android apps following Material Design. Use when there is one clear primary creation action per screen. Less common on iOS (where primary actions go in the nav bar).","PRD should specify: which screens show the FAB, what action it triggers, whether it expands into a speed dial (multiple sub-actions), scroll behavior (hide on scroll down, show on scroll up), position (bottom-right default).","Gmail: Red 'Compose' FAB on the inbox screen. Tapping opens new email. FAB hides when scrolling down to maximize reading space.","FAB on every screen (even ones with no creation action). Multiple FABs on one screen. FAB that obscures important content at the bottom of the screen.","FAB must have an accessible label ('New message', not just '+'). Focus order should include the FAB. Size must be ≥56dp (Android) / 44pt (iOS)."
"8","Empty State Design","iOS + Android","empty state, zero state, no data, first run, blank screen, onboarding, first use","Content","What the user sees when a screen has no content yet: no items in a list, no messages, no search results. Must communicate what the screen is for and guide the user to their first action.","Every screen that can be empty: new account (no data), search with no results, empty inbox, cleared notifications. The empty state is often the user's FIRST experience with a feature.","PRD must specify: empty state for every list/feed/dashboard screen. Each empty state needs: (1) illustration or icon, (2) clear headline explaining what will appear here, (3) CTA button for the primary action to populate it. Never show a completely blank screen.","Slack: Empty channel shows: 'This is the very beginning of the #channel-name channel' with a message input ready. Clear, inviting, actionable.","Blank white screen with no text, no CTA, no indication of what this screen does or how to populate it. User doesn't know if the app is broken or empty.","Empty state text must be readable by screen readers. CTA button must be focusable. Illustration should have a descriptive alt text."
"9","Toast / Snackbar Notifications","iOS + Android","toast, snackbar, inline notification, feedback, success message, undo, confirmation","Feedback","A brief message that appears at the bottom (Android snackbar) or top (iOS toast) of the screen for 3-5 seconds. Used for lightweight feedback: action confirmation, undo, errors. Non-blocking — user can continue interacting.","Confirming non-critical actions (item saved, message sent, setting updated), offering undo for destructive actions, showing temporary errors. NOT for critical information that requires user action.","PRD should specify: which actions trigger a toast, message copy, duration (3-5s), whether it includes an action button (e.g., 'Undo'), position (top vs bottom), behavior when multiple toasts are queued (stack vs replace).","Gmail: After archiving an email, a snackbar appears at the bottom: 'Conversation archived' with an 'Undo' button. Disappears after 5 seconds.","Full-screen alert dialog for 'Settings saved successfully' requiring the user to tap 'OK' to dismiss. Blocking the user for trivial confirmations.","Toast must be announced to screen readers (aria-live='polite'). Duration should be long enough for screen reader users to hear the message (minimum 5 seconds with action button)."
"10","Search with Filters","iOS + Android","search, filter, sort, faceted search, refinement, category filter, mobile search","Discovery","Search bar with filter/sort options, typically presented via bottom sheet or horizontal chip bar. Autocomplete suggestions appear as user types. Recent searches shown on focus.","Any app with >50 items of browsable content: e-commerce, marketplaces, content apps, directories. Search is often the fastest path to value on mobile.","PRD should specify: search bar placement (prominent: top of screen or bottom tab), autocomplete behavior (trigger after 2+ chars, latency <200ms), filter categories and values, sort options, recent search history (persist locally), empty results state with suggestions.","Airbnb: Search bar at top. Tapping opens full-screen search with suggestions. Filters presented as horizontal chips (Price, Type, Rooms). Filter detail via bottom sheet.","Tiny search icon in a corner. No autocomplete. No recent searches. Filters on a separate page requiring navigation away from results.","Search field must have a clear accessible label. Filter changes should announce 'X results found' to screen readers. Voice search should be available as an alternative input method."
