No,Story Category,Keywords,Typical Persona,Good Story Example,Bad Story Example,AC Format,AC Example,INVEST Issues to Watch,SaaS Context Notes
1,User Onboarding,"onboarding, signup, setup, first time, welcome, activation, first value, getting started","New User, Free Trial User","As a new user completing signup, I want to see a progress indicator during onboarding so that I know how many steps remain and don't abandon mid-flow.","As a user, I want onboarding.","Checklist + Given/When/Then","- [ ] Progress bar shows current step / total steps\n- [ ] User can skip optional steps\n- [ ] Completion triggers activation event in analytics\n- Given the user is on step 3 of 5, when they complete the step, then the progress bar advances and the next step is shown","Estimable: too large — split into (1) sign-up flow, (2) product tour, (3) first action","PLG: Onboarding is the conversion funnel. Time-to-first-value is the north star. Every required field and extra click hurts conversion."
2,User Authentication,"login, signin, auth, password, credential, sso, saml, oauth, mfa, two-factor","End User, Admin, Enterprise IT","As a returning user, I want to sign in with my company SSO so that I don't manage a separate password for this tool.","As a user, I want to login.","Checklist","- [ ] SSO redirect sends user to IdP login page\n- [ ] Successful auth returns user to their last visited page\n- [ ] Failed auth shows specific error: 'SSO not configured for your domain'\n- [ ] MFA prompt appears if enforced by admin policy","Independent: SSO and password login are separate stories","Enterprise: SSO/SAML is a deal-breaker requirement. Consumer: Magic links beat passwords for activation."
3,Password Reset,"password, reset, forgot, recover, account access, locked out, email link","Locked-Out User","As a locked-out user, I want to securely reset my password via an email link so that I can regain access to my account without contacting support.","As a user, I want a 'Forgot Password' button.","Checklist + Given/When/Then","- [ ] Reset link sent within 30 seconds of request\n- [ ] Link expires after 24 hours\n- [ ] New password must meet security requirements (8+ chars, 1 number, 1 special)\n- [ ] User is redirected to login after successful reset\n- [ ] Error shown if email is not registered: 'No account found with that email'","Testable: all criteria are clearly verifiable","Support ticket deflector: poor password reset UX is the #1 support ticket category in SaaS."
4,Dashboard / Home,"dashboard, home, overview, summary, key metrics, at a glance, quick view","Manager, Admin, Analyst, Power User","As a sales manager, I want to see my team's weekly performance at a glance on the dashboard so that I can identify who needs coaching without running multiple reports.","As the system, I need to display key metrics on a dashboard.","Given/When/Then + Checklist","- Given the user is a sales manager, when they open the dashboard, then they see their team's activity metrics for the current week\n- [ ] Data refreshes every 60 seconds or on demand\n- [ ] Empty state shown with guidance CTA if no data exists\n- [ ] Manager sees only their direct reports' data (RBAC enforced)","Valuable: tied to a business outcome (coaching decision); avoid building 'just a dashboard'","B2B: Dashboard is often the first screen after login — first impressions define retention. Always build the empty state."
5,Data Import,"import, upload, csv, bulk, migrate, data entry, file","Operations User, Admin, Power User","As an operations manager, I want to import contacts via CSV so that I can migrate our CRM data in bulk instead of entering records one-by-one.","As a user, I want to upload a CSV file.","Checklist + Edge Cases","- [ ] Accepts CSV up to 50MB; rejects with message: 'File exceeds 50MB, please split'\n- [ ] Validates column headers on upload; shows mapping UI for unrecognized columns\n- [ ] Shows progress bar during import with row count\n- [ ] Import completes in <5 min for 10,000 rows\n- [ ] Shows summary: X imported, Y skipped (duplicates), Z errors with downloadable error log","Estimable: needs spike on file parsing performance","Common edge cases: duplicate detection, encoding issues (UTF-8 vs Latin-1), semicolon delimiters, empty rows, missing required fields."
6,Data Export,"export, download, csv, report, extract, share","Analyst, Manager, Power User","As a finance analyst, I want to export transaction data as CSV filtered by date range so that I can run analysis in Excel for the quarterly review.","As a user, I want to export data.","Checklist","- [ ] User can select date range, columns, and file format (CSV/XLSX)\n- [ ] Export of 100,000 rows completes in <60 seconds\n- [ ] User receives email with download link if export takes >10 seconds\n- [ ] Export respects user's RBAC — only exports data they have access to\n- [ ] Download link expires after 48 hours","Independent: export format options (CSV/XLSX) can be a separate story","Compliance note: Exports of PII require audit logging in enterprise SaaS."
7,Billing & Subscription,"billing, subscription, plan, upgrade, downgrade, payment, invoice, trial, renewal","Account Owner, Finance Admin","As an account owner, I want to upgrade my plan from Starter to Pro in self-serve so that I can unlock advanced features without contacting sales.","As a user, I want to change my plan.","Given/When/Then","- Given the user is on the Starter plan, when they click Upgrade, then they see the Pro plan details and pricing with a payment form\n- [ ] Upgrade takes effect immediately after successful payment\n- [ ] User receives email confirmation with invoice\n- [ ] Prorated charge calculated correctly for mid-cycle upgrades\n- [ ] Failed payment shows specific error and retry option (no silent failure)","Testable: payment edge cases (failed card, proration) must each have explicit AC","PLG: Upgrade friction kills revenue. Self-serve billing with proration is table stakes."
8,Team & Collaboration,"team, invite, member, collaborate, share, permission, workspace, role","Admin, Team Member, Workspace Owner","As a workspace admin, I want to invite team members by email and assign roles so that I can control who can view versus edit our shared data.","As a user, I want to invite people.","Checklist + Given/When/Then","- [ ] Admin can enter multiple emails (comma-separated) and assign role per email\n- [ ] Invitee receives email within 2 minutes with accept link\n- [ ] Invitee accepting creates their account and lands in the workspace\n- [ ] Admin can remove, re-invite, or change roles at any time\n- Given the invitee's email domain doesn't match SSO domain, when they accept, then they're prompted to set a password","Small: split into (1) invite flow, (2) role assignment, (3) removal/offboarding","B2B growth: invite flow is a viral loop. Friction here limits expansion revenue."
9,Settings & Preferences,"settings, preferences, profile, account, notification, config, customize","All Users","As a user, I want to configure my notification preferences so that I only receive alerts for events that require my attention, reducing inbox noise.","As a user, I want to manage settings.","Checklist","- [ ] User can toggle each notification type independently (in-app, email, Slack)\n- [ ] Settings save immediately without a separate save button\n- [ ] User can set a quiet hours window for email notifications\n- [ ] Changes take effect on the next qualifying event (not retroactively)\n- [ ] Reset to defaults option available","Independent: profile settings and notification settings are separate stories","Settings are often deprioritized but directly impact retention — noisy notifications cause churn."
10,Notifications,"notification, alert, email, push, in-app, bell, digest, real-time","All Users","As a project contributor, I want to receive in-app notifications when someone comments on my task so that I can respond promptly without monitoring the tool constantly.","As a user, I want notifications.","Checklist + Given/When/Then","- [ ] In-app notification bell shows unread count badge\n- [ ] Clicking notification navigates to the relevant context\n- [ ] Email digest sent at user's configured frequency\n- Given the user has opted out of email notifications for comments, when a comment is added, then no email is sent but the in-app notification still fires","Small: split by notification type (comments, mentions, status changes)","D7/D30 retention driver. Balance between helpful and spammy. Always build unsubscribe."
