"No","Rule Name","Platform","Keywords","Category","Guideline Reference","Requirement","Impact If Violated","PRD Action Required","Common Mistakes"
"1","In-App Purchase Required for Digital Goods","iOS","iap, in-app purchase, payment, digital goods, subscription, storekit, apple pay, commission","Monetization","App Store Review Guideline 3.1.1","All digital goods and subscriptions sold within the app must use Apple's In-App Purchase (StoreKit). External payment links are prohibited for digital content. Physical goods and services (Uber, Airbnb) are exempt.","App rejection. Apple has rejected major apps (Epic Games, Spotify) for violating this rule. Appeals are lengthy and rarely succeed.","PRD must specify: IAP for all digital content purchases. Factor Apple's 30% (or 15% for small business) commission into pricing model. Include 'Restore Purchases' button on paywall screen.","Trying to use Stripe/PayPal for digital subscriptions. Linking to a website for payment. Not including 'Restore Purchases' button."
"2","In-App Purchase for Digital Goods (Android)","Android","google play billing, in-app purchase, subscription, digital goods, payment, android monetization","Monetization","Google Play Billing Policy","Apps distributed on Google Play that offer digital content must use Google Play's billing system. Google allows some alternative billing (user choice billing in select markets) but still requires Play Billing as an option.","App removal from Play Store. Account warnings. Potential developer account suspension for repeated violations.","PRD must specify: Google Play Billing for digital subscriptions. Factor Google's 15-30% commission into pricing. Support both Google Play Billing and any alternative billing if using user choice billing.","Assuming Google's billing rules are identical to Apple's. Not supporting Google Play Billing alongside alternative payment."
"3","Privacy Nutrition Label (iOS)","iOS","privacy, nutrition label, data collection, app privacy, tracking, transparency, privacy policy","Privacy","App Store Review Guideline 5.1.1 + App Privacy Details","Every app must declare what data it collects, how it's used, and whether it's linked to the user's identity. This is shown on the App Store listing page before download.","App rejection if declared data doesn't match actual collection. User trust damage if the label is inaccurate. Apple has removed apps for false privacy declarations.","PRD must include a 'Data Collection' section listing every data point collected, its purpose, and whether it's linked to identity. Review with engineering before submission. Update the label with every feature that adds data collection.","Not updating the label when adding analytics SDKs. Forgetting that third-party SDKs (Facebook, Google Analytics) also collect data that must be declared."
"4","Data Safety Section (Android)","Android","data safety, privacy, data collection, google play, transparency, data handling","Privacy","Google Play Data Safety Section Policy","Every app must complete a Data Safety form declaring data collection, sharing, and security practices. Shown on the Play Store listing page.","App flagged or removed. Play Store shows warning badge if Data Safety section is incomplete. Users increasingly check this before installing.","PRD must include data collection inventory. Map every data point to its purpose and retention policy. Update Data Safety form with every feature release that changes data handling.","Not updating the form when adding new third-party SDKs. Declaring 'no data shared' when analytics SDKs share data with their servers."
"5","App Tracking Transparency (ATT)","iOS","att, tracking, idfa, advertising, attribution, app tracking transparency, privacy prompt, ios 14","Privacy / Advertising","App Store Review Guideline 5.1.2 (ATT Framework)","Apps must use the ATT framework to request permission before tracking users across apps/websites owned by other companies. The user must explicitly opt in via a system dialog.","App rejection. IDFA access revoked without prompt. Advertising attribution accuracy drops significantly without opt-in.","PRD must specify: ATT prompt timing and copy (custom message string). Expected opt-in rate (typically 15-35% globally). Impact on advertising attribution and ROAS measurement. Fallback attribution strategy for users who deny.","Prompting ATT on first launch (kills opt-in rate). Not having a fallback attribution strategy. Assuming all users will opt in."
"6","Background Location Usage","iOS + Android","background location, always location, gps, tracking, geofence, significant location change","Location / Privacy","Apple: HIG Location Best Practices. Google: Background Location Access Policy","Background location ('Always') requires clear justification. iOS: App Store review requires a written explanation of why background location is needed. Android: Separate permission prompt for background location. Both platforms may reject if the use case doesn't justify it.","iOS: App rejection. Android: Separate permission dialog that most users deny. Both: User complaints about battery drain. App store reviews citing 'tracking.'","PRD must justify background location need. Specify: use case (navigation, geofencing, fitness tracking), minimum accuracy needed, frequency of location updates, battery impact assessment. Default to 'While Using' unless background is essential.","Requesting 'Always' when 'While Using' is sufficient. Not explaining the justification in App Store submission notes. Ignoring battery impact of continuous GPS."
"7","Minimum Functionality","iOS","minimum functionality, utility, wrapper, web view, thin app, app store quality, content","App Quality","App Store Review Guideline 4.2","Apps must provide sufficient functionality beyond a repackaged website. Web view wrappers, apps with minimal content, and apps that are 'too simple' are rejected. Apps must work without an internet connection if possible.","App rejection with guidance to submit as a website instead. Common reason for first-time app rejections.","PRD must demonstrate native value: features that leverage device capabilities (camera, sensors, push, offline), performance advantages over web, or UX patterns that justify a native app. Include at least 3 features that are only possible or significantly better as a native app.","Building a web view wrapper and submitting it as an app. Not implementing any offline functionality. Not using any native device capabilities."
"8","Content Moderation","iOS + Android","moderation, ugc, user generated content, report, abuse, safety, harmful content, csam","Trust & Safety","Apple: 1.2 User Generated Content. Google: User Generated Content Policy","Apps with user-generated content must implement: content reporting mechanism, blocking functionality, content moderation (human and/or automated), and the ability to hide objectionable content. Apps with UGC aimed at children have stricter requirements.","App rejection or removal. Legal liability for hosting harmful content. Regulatory fines (DSA in EU, COPPA for children's content).","PRD must include: reporting flow (how users flag content), moderation pipeline (automated filters + human review), blocking mechanism (user-to-user), content policy documentation accessible in-app, response time SLA for reported content (typically <24h).","Launching UGC features without moderation. Relying solely on automated moderation without human review. Not having a content policy accessible in the app."
"9","Login Requirements","iOS","login wall, account requirement, sign in, guest access, anonymous, browse, explore","Onboarding / UX","App Store Review Guideline 5.1.1(v)","Apps must justify mandatory login. Apple expects users to be able to explore the app's core functionality before being required to create an account. Apps that force login before showing any value are frequently rejected.","App rejection. Apple specifically flags apps that gate content behind login without justification.","PRD must specify: which screens are accessible without login (minimum: core browsing/discovery), at which point login is required (first write action or personalized feature), guest mode behavior. Include a 'Login Strategy' note in onboarding section.","Requiring signup/login on the first screen. Not providing any guest or anonymous browsing capability. Requiring social login only (must offer email/phone alternative)."
"10","Sign In with Apple","iOS","sign in with apple, social login, apple id, authentication, third party login","Authentication","App Store Review Guideline 4.8","Apps that offer third-party sign-in (Google, Facebook, etc.) must also offer Sign in with Apple as an option. It must be presented as an equally prominent option alongside other social login buttons.","App rejection. This is a hard requirement — no exceptions. Apple enforces it strictly.","PRD must include: Sign in with Apple button on login/signup screen, equal prominence with other social login options, handling of Apple's email relay (private email forwarding), handling of 'Hide My Email' users.","Not implementing Sign in with Apple when offering Google/Facebook login. Placing the Apple button less prominently than other options. Not handling the private relay email properly."
